;country_name;suc_seq;byear;duration;init_polyarchy;v2mecenefi_ord_0;v2mecenefi_ord_1;v2mecenefi_ord_2;v2mecenefi_ord_3;v2meharjrn_ord_0;v2meharjrn_ord_1;v2meharjrn_ord_2;v2meharjrn_ord_3;v2meharjrn_ord_4;v2meslfcen_ord_0;v2meslfcen_ord_1;v2meslfcen_ord_2;v2meslfcen_ord_3;v2mebias_ord_0;v2mebias_ord_1;v2mebias_ord_2;v2mebias_ord_3;v2mebias_ord_4;v2mecrit_ord_0;v2mecrit_ord_1;v2mecrit_ord_2;v2mecrit_ord_3;v2merange_ord_0;v2merange_ord_1;v2merange_ord_2;v2merange_ord_3;v2cldiscm_ord_0;v2cldiscm_ord_1;v2cldiscm_ord_2;v2cldiscm_ord_3;v2cldiscm_ord_4;v2cldiscw_ord_0;v2cldiscw_ord_1;v2cldiscw_ord_2;v2cldiscw_ord_3;v2cldiscw_ord_4;v2clacfree_ord_0;v2clacfree_ord_1;v2clacfree_ord_2;v2clacfree_ord_3;v2clacfree_ord_4;v2psparban_ord_0;v2psparban_ord_1;v2psparban_ord_2;v2psparban_ord_3;v2psparban_ord_4;v2psbars_ord_0;v2psbars_ord_1;v2psbars_ord_2;v2psbars_ord_3;v2psbars_ord_4;v2psoppaut_ord_0;v2psoppaut_ord_1;v2psoppaut_ord_2;v2psoppaut_ord_3;v2psoppaut_ord_4;v2elmulpar_ord_0;v2elmulpar_ord_1;v2elmulpar_ord_2;v2elmulpar_ord_3;v2elmulpar_ord_4;v2cseeorgs_ord_0;v2cseeorgs_ord_1;v2cseeorgs_ord_2;v2cseeorgs_ord_3;v2cseeorgs_ord_4;v2csreprss_ord_0;v2csreprss_ord_1;v2csreprss_ord_2;v2csreprss_ord_3;v2csreprss_ord_4;e_v2x_suffr_5C_0;e_v2x_suffr_5C_1;e_v2x_suffr_5C_2;e_v2x_suffr_5C_3;e_v2x_suffr_5C_4;v2elembaut_ord_0;v2elembaut_ord_1;v2elembaut_ord_2;v2elembaut_ord_3;v2elembaut_ord_4;v2elembcap_ord_0;v2elembcap_ord_1;v2elembcap_ord_2;v2elembcap_ord_3;v2elembcap_ord_4;v2elrgstry_ord_1;v2elrgstry_ord_2;v2elrgstry_ord_3;v2elrgstry_ord_4;v2elvotbuy_ord_0;v2elvotbuy_ord_1;v2elvotbuy_ord_2;v2elvotbuy_ord_3;v2elvotbuy_ord_4;v2elirreg_ord_0;v2elirreg_ord_1;v2elirreg_ord_2;v2elirreg_ord_3;v2elirreg_ord_4;v2elintim_ord_0;v2elintim_ord_1;v2elintim_ord_2;v2elintim_ord_3;v2elintim_ord_4;v2elpeace_ord_0;v2elpeace_ord_1;v2elpeace_ord_2;v2elpeace_ord_3;v2elpeace_ord_4;v2elfrfair_ord_0;v2elfrfair_ord_1;v2elfrfair_ord_2;v2elfrfair_ord_3;v2elfrfair_ord_4
75;Netherlands;1;1916;4;2;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;3;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;2;NA;4;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;1;2;NA;NA;NA;1;2;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;1
76;Netherlands;2;1941;7;0;NA;NA;NA;NA;0;NA;4;5;NA;NA;0;4;NA;NA;NA;0;NA;5;NA;NA;0;5;NA;NA;0;4;NA;NA;0;5;NA;NA;NA;0;NA;5;NA;0;NA;5;NA;NA;3;0;4;5;NA;NA;NA;NA;0;NA;NA;NA;0;5;NA;NA;NA;NA;5;NA;NA;0;5;NA;NA;0;NA;NA;5;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;5;NA;NA;NA;NA;5;NA;NA;NA;NA;5;NA;NA;NA;NA;5;NA;NA;NA;NA;5;NA;NA;NA;NA;5
77;Nicaragua;1;1980;10;0;NA;NA;NA;NA;NA;NA;0;10;NA;NA;NA;0;NA;NA;0;NA;NA;10;NA;NA;0;NA;NA;NA;0;10;NA;2;0;10;NA;NA;NA;2;0;NA;NA;NA;0;1;NA;NA;NA;NA;0;3;NA;NA;NA;0;10;NA;NA;NA;0;10;NA;NA;NA;NA;4;NA;NA;2;0;NA;NA;2;0;10;NA;NA;NA;NA;NA;0;NA;0;3;9;NA;NA;0;4;9;NA;NA;4;NA;10;NA;NA;4;NA;NA;NA;NA;4;10;NA;NA;NA;NA;4;10;NA;NA;4;10;NA;NA;NA;NA;4;NA
78;Niger;1;1985;19;0;NA;NA;13;15;0;4;5;14;NA;NA;0;4;6;0;NA;3;4;8;NA;0;4;15;0;2;3;4;NA;0;3;15;NA;NA;0;3;5;15;NA;NA;NA;0;15;NA;0;NA;5;6;NA;0;NA;5;15;0;NA;NA;5;6;NA;NA;4;11;8;0;3;5;15;NA;NA;NA;0;15;NA;NA;NA;NA;NA;0;0;6;11;8;NA;0;NA;11;8;NA;NA;14;4;NA;NA;8;19;4;NA;11;10;8;4;NA;NA;NA;4;8;NA;NA;NA;14;8;4;NA;4;NA;14;8
79;Niger;2;2010;1;1;NA;NA;0;NA;NA;NA;1;0;NA;NA;NA;NA;0;NA;NA;NA;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;NA;0;1;NA;NA;NA;NA;0;NA;0;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA
80;Nigeria;1;1994;21;0;NA;NA;NA;0;NA;0;5;NA;NA;NA;NA;0;5;NA;NA;NA;0;5;NA;NA;NA;0;NA;NA;NA;0;NA;0;4;5;NA;NA;NA;0;5;NA;NA;NA;NA;0;19;NA;NA;NA;0;3;NA;NA;NA;0;3;NA;NA;0;5;NA;NA;NA;NA;NA;4;NA;NA;1;0;16;NA;NA;0;5;6;NA;NA;NA;NA;0;NA;NA;0;19;NA;0;5;16;20;NA;NA;4;17;21;13;4;NA;NA;NA;4;5;17;NA;NA;NA;NA;9;4;NA;NA;4;5;21;NA;NA;9;4;17;NA
81;Norway;1;1901;13;1;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;5;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;2;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;13;NA;NA;NA;0;4;NA;NA;NA;0;NA;NA;NA;2;0;NA;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2
82;Norway;2;1942;3;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;3;NA;NA;0;3;NA;NA;NA;NA;0;3;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;3;NA;NA;0;NA;3;NA;NA;0;3;NA;NA;NA;NA;NA;3;NA;1;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;3;NA;NA;NA;0;3;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;3
83;Panama;1;1986;5;0;NA;NA;NA;NA;0;NA;4;NA;NA;0;NA;4;NA;NA;0;NA;4;NA;NA;0;NA;4;0;NA;4;NA;NA;0;NA;NA;4;NA;NA;0;NA;4;NA;0;NA;4;NA;NA;NA;NA;NA;0;NA;NA;0;NA;4;NA;NA;NA;0;4;NA;NA;NA;NA;3;NA;0;NA;4;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;0;NA;NA;4;NA;0;NA;NA;4;NA;3;NA;5;NA;NA;5;3;NA;NA;NA;NA;NA;3;NA;NA;NA;3;NA;5;NA;NA;3;NA;5;3;NA;NA;NA;5
84;Paraguay;1;1986;18;0;NA;NA;NA;7;0;3;4;NA;NA;0;4;18;NA;0;NA;4;14;NA;NA;0;4;NA;0;NA;4;NA;0;NA;NA;4;18;NA;0;NA;4;NA;0;NA;NA;4;NA;NA;NA;NA;0;3;NA;NA;0;3;4;NA;NA;0;NA;4;NA;NA;2;3;5;0;1;NA;4;6;NA;0;3;4;NA;NA;NA;NA;NA;0;0;4;5;7;NA;0;NA;4;7;NA;2;3;12;NA;2;5;NA;NA;NA;NA;2;5;NA;NA;NA;2;NA;3;17;NA;NA;NA;NA;2;2;NA;3;5;NA
