;country_name;suc_seq;byear;duration;init_polyarchy;v2mecenefi_ord_0;v2mecenefi_ord_1;v2mecenefi_ord_2;v2mecenefi_ord_3;v2meharjrn_ord_0;v2meharjrn_ord_1;v2meharjrn_ord_2;v2meharjrn_ord_3;v2meharjrn_ord_4;v2meslfcen_ord_0;v2meslfcen_ord_1;v2meslfcen_ord_2;v2meslfcen_ord_3;v2mebias_ord_0;v2mebias_ord_1;v2mebias_ord_2;v2mebias_ord_3;v2mebias_ord_4;v2mecrit_ord_0;v2mecrit_ord_1;v2mecrit_ord_2;v2mecrit_ord_3;v2merange_ord_0;v2merange_ord_1;v2merange_ord_2;v2merange_ord_3;v2cldiscm_ord_0;v2cldiscm_ord_1;v2cldiscm_ord_2;v2cldiscm_ord_3;v2cldiscm_ord_4;v2cldiscw_ord_0;v2cldiscw_ord_1;v2cldiscw_ord_2;v2cldiscw_ord_3;v2cldiscw_ord_4;v2clacfree_ord_0;v2clacfree_ord_1;v2clacfree_ord_2;v2clacfree_ord_3;v2clacfree_ord_4;v2psparban_ord_0;v2psparban_ord_1;v2psparban_ord_2;v2psparban_ord_3;v2psparban_ord_4;v2psbars_ord_0;v2psbars_ord_1;v2psbars_ord_2;v2psbars_ord_3;v2psbars_ord_4;v2psoppaut_ord_0;v2psoppaut_ord_1;v2psoppaut_ord_2;v2psoppaut_ord_3;v2psoppaut_ord_4;v2elmulpar_ord_0;v2elmulpar_ord_1;v2elmulpar_ord_2;v2elmulpar_ord_3;v2elmulpar_ord_4;v2cseeorgs_ord_0;v2cseeorgs_ord_1;v2cseeorgs_ord_2;v2cseeorgs_ord_3;v2cseeorgs_ord_4;v2csreprss_ord_0;v2csreprss_ord_1;v2csreprss_ord_2;v2csreprss_ord_3;v2csreprss_ord_4;e_v2x_suffr_5C_0;e_v2x_suffr_5C_1;e_v2x_suffr_5C_2;e_v2x_suffr_5C_3;e_v2x_suffr_5C_4;v2elembaut_ord_0;v2elembaut_ord_1;v2elembaut_ord_2;v2elembaut_ord_3;v2elembaut_ord_4;v2elembcap_ord_0;v2elembcap_ord_1;v2elembcap_ord_2;v2elembcap_ord_3;v2elembcap_ord_4;v2elrgstry_ord_1;v2elrgstry_ord_2;v2elrgstry_ord_3;v2elrgstry_ord_4;v2elvotbuy_ord_0;v2elvotbuy_ord_1;v2elvotbuy_ord_2;v2elvotbuy_ord_3;v2elvotbuy_ord_4;v2elirreg_ord_0;v2elirreg_ord_1;v2elirreg_ord_2;v2elirreg_ord_3;v2elirreg_ord_4;v2elintim_ord_0;v2elintim_ord_1;v2elintim_ord_2;v2elintim_ord_3;v2elintim_ord_4;v2elpeace_ord_0;v2elpeace_ord_1;v2elpeace_ord_2;v2elpeace_ord_3;v2elpeace_ord_4;v2elfrfair_ord_0;v2elfrfair_ord_1;v2elfrfair_ord_2;v2elfrfair_ord_3;v2elfrfair_ord_4
95;Serbia;1;1991;10;0;NA;NA;NA;5;NA;0;9;NA;NA;NA;0;9;NA;NA;NA;0;9;10;NA;NA;0;NA;0;6;NA;9;NA;NA;0;9;10;NA;NA;NA;0;9;NA;NA;0;9;10;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;10;NA;NA;NA;NA;1;NA;0;NA;9;NA;NA;1;0;10;NA;NA;NA;NA;NA;0;NA;0;NA;9;NA;NA;NA;0;1;NA;NA;NA;1;NA;NA;1;9;NA;NA;NA;1;NA;NA;NA;NA;NA;1;9;NA;NA;NA;1;9;NA;NA;NA;1;9;NA
96;Sierra Leone;1;1999;4;1;NA;NA;NA;3;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;3;0;NA;NA;0;3;NA;NA;NA;0;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;3;NA;NA;NA;0;3;NA;NA;NA;0;3;NA;NA;NA;NA;0;NA;NA;0;3;NA;NA;NA;0;3;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA
97;Solomon Islands;1;1960;54;0;NA;NA;NA;36;NA;NA;0;10;NA;NA;0;13;NA;0;NA;10;14;NA;NA;0;10;NA;0;20;NA;22;NA;NA;NA;0;NA;NA;NA;0;19;NA;NA;18;0;19;NA;NA;NA;NA;NA;0;NA;NA;NA;0;12;NA;0;NA;12;NA;NA;NA;4;NA;16;NA;NA;0;15;NA;NA;NA;0;18;19;0;NA;NA;NA;4;0;NA;16;4;NA;0;NA;16;3;NA;NA;4;20;NA;NA;37;4;7;NA;NA;4;46;NA;NA;NA;NA;NA;NA;4;NA;NA;46;4;24;NA;NA;29;4;NA
98;South Africa;1;1985;10;0;NA;NA;NA;8;NA;0;9;NA;NA;NA;0;4;NA;NA;NA;0;5;10;NA;NA;0;9;NA;NA;0;9;NA;0;5;NA;9;0;4;NA;9;NA;NA;0;9;10;NA;NA;NA;NA;0;6;NA;NA;0;5;6;NA;NA;NA;0;9;NA;NA;2;4;9;NA;0;5;6;9;NA;0;5;8;10;NA;0;NA;NA;10;NA;0;4;8;NA;NA;NA;NA;0;NA;2;9;NA;NA;NA;NA;2;4;NA;NA;NA;9;2;NA;NA;NA;2;9;NA;NA;NA;2;NA;NA;NA;2;NA;9;NA
99;South Korea;1;1972;25;0;NA;NA;NA;21;NA;0;8;NA;NA;9;0;8;17;NA;NA;1;0;16;NA;1;0;16;NA;9;0;16;NA;0;8;15;17;NA;0;8;15;18;0;8;15;17;NA;NA;NA;NA;8;0;NA;NA;NA;0;16;NA;NA;0;13;16;NA;NA;NA;1;13;0;8;15;16;NA;NA;0;13;16;NA;NA;NA;NA;NA;0;NA;0;NA;15;NA;NA;NA;0;15;21;NA;NA;1;9;NA;1;15;NA;NA;NA;1;15;16;NA;NA;1;13;15;25;NA;NA;NA;1;13;NA;1;13;NA;15
100;Spain;1;1973;5;0;NA;NA;NA;NA;0;NA;3;4;5;0;2;4;5;0;2;NA;NA;5;0;3;NA;4;0;NA;3;5;0;NA;3;NA;5;NA;0;NA;3;NA;NA;0;NA;4;NA;0;NA;NA;4;5;NA;0;NA;4;5;0;1;NA;4;5;NA;NA;NA;NA;4;NA;0;NA;4;5;NA;NA;0;4;5;NA;NA;NA;NA;0;0;NA;NA;4;5;NA;0;NA;NA;4;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4
101;Sri Lanka;1;1907;41;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;24;NA;NA;0;23;41;NA;0;41;NA;NA;NA;NA;0;13;NA;NA;NA;0;13;NA;NA;NA;0;NA;NA;NA;NA;0;29;NA;NA;NA;NA;0;NA;NA;0;24;41;4;NA;24;NA;40;NA;NA;0;41;NA;NA;NA;NA;0;41;0;NA;NA;NA;25;0;14;NA;NA;NA;NA;NA;0;40;NA;4;24;40;NA;NA;NA;NA;24;4;NA;NA;NA;40;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4
102;Sri Lanka;2;2012;4;2;NA;NA;0;3;NA;0;1;NA;NA;NA;NA;0;3;NA;NA;NA;0;4;NA;NA;0;NA;NA;NA;0;1;NA;NA;1;0;3;NA;NA;NA;0;NA;NA;NA;0;3;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;3;NA;NA;1;0;3;NA;NA;1;0;4;NA;NA;NA;NA;0;NA;NA;0;1;NA;NA;NA;NA;0;NA;NA;NA;NA;3;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA
103;Suriname;1;1945;30;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;10;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;30;NA;NA;NA;0;29;NA;NA;NA;0;NA;NA;NA;NA;0;4;NA;NA;NA;0;5;NA;NA;NA;0;10;NA;NA;NA;NA;4;NA;NA;0;12;NA;NA;NA;NA;0;NA;0;NA;NA;NA;4;NA;NA;NA;0;4;NA;NA;NA;NA;0;NA;NA;4;NA;NA;NA;24;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4
104;Suriname;2;1983;17;0;NA;NA;NA;10;0;5;6;7;NA;0;5;6;NA;NA;NA;NA;0;5;NA;NA;0;6;0;2;4;6;NA;0;4;5;8;NA;NA;0;4;8;0;3;5;9;NA;NA;NA;NA;0;5;NA;NA;NA;NA;0;NA;NA;NA;0;5;NA;NA;NA;NA;4;NA;NA;0;2;5;NA;NA;0;5;6;NA;NA;NA;NA;0;NA;NA;NA;0;8;NA;NA;NA;0;7;NA;NA;NA;4;NA;NA;4;8;NA;NA;NA;NA;13;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4
105;Sweden;1;1913;32;1;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;6;NA;NA;NA;0;11;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;1;NA;NA;NA;NA;0;NA;NA;NA;18;0;NA;NA;0;NA;9;NA;NA;NA;0;8;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;1;4;NA;NA;NA;1;8;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;1;4
106;Switzerland;1;1915;4;2;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;2;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2
107;Switzerland;2;1940;31;2;NA;NA;NA;NA;NA;NA;NA;0;6;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;5;NA;NA;NA;0;5;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;3;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;10;NA;NA;NA;NA;0;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;3;31;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;3
108;Taiwan;1;1983;17;0;NA;NA;NA;10;NA;0;1;13;NA;NA;0;7;17;NA;0;3;13;17;NA;0;5;17;0;5;6;17;NA;NA;0;6;17;NA;0;4;6;17;NA;0;5;10;NA;0;3;NA;4;5;NA;0;NA;4;13;0;NA;3;NA;4;NA;0;3;6;12;NA;NA;0;9;16;NA;NA;0;4;14;NA;NA;NA;NA;0;NA;0;6;13;NA;NA;NA;NA;0;10;NA;NA;0;6;0;6;13;NA;NA;NA;0;NA;8;NA;NA;NA;0;8;9;NA;NA;NA;NA;0;NA;0;6;8;15
109;Timor-Leste;1;1996;10;0;NA;NA;NA;6;0;2;3;4;NA;0;2;4;NA;NA;0;NA;NA;4;0;2;3;4;0;3;NA;4;NA;0;3;NA;4;NA;0;NA;4;NA;0;NA;NA;4;NA;0;NA;4;NA;6;0;NA;NA;4;6;NA;NA;0;NA;6;NA;NA;NA;6;5;0;2;NA;4;NA;0;2;NA;NA;4;NA;NA;NA;NA;0;0;6;NA;9;NA;NA;NA;0;6;NA;NA;NA;5;NA;NA;NA;5;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;5;NA;NA;NA;NA;5;NA
110;Trinidad and Tobago;1;1923;43;0;NA;NA;NA;NA;NA;0;17;NA;NA;NA;0;22;NA;0;4;19;39;NA;NA;0;13;NA;NA;0;34;NA;NA;NA;NA;NA;0;NA;NA;NA;0;37;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;23;NA;NA;NA;0;23;NA;NA;NA;NA;2;NA;0;37;40;NA;NA;0;17;33;NA;0;NA;NA;NA;23;NA;NA;NA;0;NA;NA;NA;0;32;NA;2;5;43;NA;NA;NA;NA;15;2;NA;NA;38;23;2;NA;NA;NA;33;2;NA;NA;NA;NA;2;NA;NA;2;10;23
111;Tunisia;1;2007;5;0;0;NA;NA;4;NA;0;4;NA;NA;0;3;NA;4;NA;0;NA;NA;4;NA;0;NA;4;NA;0;NA;4;NA;0;NA;4;5;NA;0;NA;NA;4;NA;0;NA;4;NA;NA;NA;NA;0;4;NA;NA;0;NA;4;NA;NA;0;NA;4;NA;2;NA;NA;4;NA;0;NA;5;4;NA;0;NA;5;4;NA;NA;NA;NA;0;0;NA;NA;4;NA;NA;0;NA;4;NA;NA;2;4;NA;NA;2;4;NA;NA;2;NA;NA;4;NA;2;NA;NA;NA;4;NA;NA;NA;NA;2;2;NA;NA;4;NA
112;Turkey;1;1962;4;1;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;NA;NA;NA;0;3;NA;NA;0;2;NA;0;NA;2;NA;0;1;NA;NA;NA;NA;0;1;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;3;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;3;NA
113;Turkey;2;1971;3;2;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;3;NA;NA;NA;NA;0;NA;NA;0;3;NA;NA;0;3;NA;0;2;NA;NA;NA;NA;0;2;NA;NA;0;2;NA;NA;NA;NA;NA;0;1;NA;NA;NA;0;NA;NA;NA;NA;0;1;NA;NA;NA;NA;2;NA;NA;0;3;NA;NA;NA;0;NA;3;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;2;NA
114;Turkey;3;1981;18;0;NA;NA;12;NA;NA;NA;0;NA;NA;0;NA;3;NA;NA;NA;0;3;9;NA;0;3;NA;0;NA;3;18;0;3;9;NA;NA;0;2;5;NA;NA;0;2;9;NA;NA;NA;NA;NA;0;2;NA;NA;0;2;NA;NA;NA;NA;0;7;NA;NA;NA;1;2;0;3;15;NA;NA;NA;0;3;15;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;1;6;NA;NA;NA;1;NA;NA;NA;NA;1;10;NA;NA;NA;1;6;NA;NA;NA;NA;1;NA;NA;NA;1;10
115;Ukraine;1;2004;2;1;NA;NA;NA;0;NA;NA;0;NA;NA;NA;0;1;NA;NA;NA;0;1;NA;NA;NA;0;2;NA;NA;0;1;NA;NA;NA;0;1;NA;NA;NA;0;1;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;1;0;NA;NA;NA;0;1;NA;NA;NA;NA;0;NA;NA;0;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;1;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;2;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;2;NA;0;NA;2;NA
116;United Kingdom;1;1915;34;2;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;31;NA;NA;0;5;NA;NA;0;4;NA;NA;NA;NA;0;NA;NA;NA;0;21;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;3;NA;NA;NA;24;0;NA;NA;NA;0;31;NA;0;NA;NA;4;NA;NA;0;4;NA;NA;NA;0;25;NA;NA;NA;7;3;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;3
117;United States;1;1942;33;2;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;18;NA;NA;0;28;NA;NA;0;28;NA;NA;NA;0;27;NA;NA;NA;0;29;NA;NA;NA;0;18;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;3;0;NA;NA;NA;NA;0;NA;NA;0;3;33;NA;NA;NA;0;NA;NA;0;24;NA;NA;NA;0;8;NA;NA;0;4;18;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;30;0
118;Uruguay;1;1934;11;1;NA;NA;NA;NA;NA;NA;0;9;NA;NA;0;5;9;NA;NA;NA;0;4;NA;0;5;NA;NA;NA;0;5;NA;NA;NA;0;8;NA;0;5;NA;NA;NA;0;4;5;11;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;8;NA;NA;0;5;10;NA;NA;0;1;8;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;8;NA;NA;NA;0;8;NA;NA;NA;NA;0;NA;NA;NA;0;8
119;Uruguay;2;1980;5;0;NA;NA;NA;NA;NA;0;NA;5;NA;NA;0;5;NA;NA;0;NA;5;NA;0;NA;5;NA;NA;NA;0;5;NA;0;4;NA;5;0;4;5;NA;NA;0;NA;NA;5;NA;0;2;4;NA;5;NA;0;NA;NA;5;NA;NA;NA;0;5;NA;NA;NA;NA;4;NA;NA;0;NA;5;NA;0;1;5;NA;NA;NA;NA;NA;0;NA;NA;NA;0;5;NA;NA;NA;NA;0;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4
120;Vanuatu;1;1971;9;0;NA;NA;NA;NA;NA;0;NA;9;NA;NA;NA;0;NA;NA;NA;NA;0;9;NA;NA;NA;0;NA;NA;0;9;NA;NA;5;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;9;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;4;NA;NA;0;NA;9;NA;NA;NA;0;9;0;NA;NA;NA;4;0;NA;NA;9;NA;NA;NA;NA;0;NA;NA;4;NA;6;NA;NA;NA;6;4;NA;NA;8;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;6;4;NA;8
121;Vanuatu;2;1994;4;2;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;4;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA
122;Vanuatu;3;2008;4;2;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;4;NA;NA;NA;0;NA
123;Vanuatu;4;2015;1;2;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;1;NA
124;Venezuela;1;1954;5;0;NA;NA;NA;NA;0;NA;4;NA;NA;0;NA;4;NA;NA;0;NA;4;5;NA;0;NA;4;NA;NA;0;4;0;NA;4;NA;5;NA;0;4;NA;5;0;NA;NA;4;NA;NA;NA;0;3;4;NA;NA;0;NA;4;NA;0;NA;4;5;NA;NA;NA;NA;3;0;NA;4;5;NA;NA;0;NA;NA;4;NA;NA;NA;NA;0;0;NA;4;5;NA;NA;NA;NA;0;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;3;4;NA;NA;3;NA;4;NA;NA;NA;3;4;NA;NA;3;NA;NA;4
